preset,mode,target_rf_percent,model_rf_percent,abs_rf_error,target_oil_ml,model_oil_ml,abs_oil_error_ml,final_delta_p_bar,mean_cp_ppm,mean_ads_ug_g
driza1_base,water,25.0,29.30559833722538,4.30559833722538,15.3,17.524747805660777,2.224747805660776,374.47277629290267,0.0,0.0
driza1_base,polymer,53.0,59.30075032960385,6.300750329603851,31.7,35.4618486971031,3.761848697103101,374.98169322677,0.09014924058647925,0.01142582614266106
driza1_base,hybrid,48.0,48.55236484283175,0.55236484283175,28.85,29.034314176013385,0.18431417601338396,375.0784688777406,0.09012796124729515,0.011421836142385114
driza2_base,water,25.8,28.548270930431386,2.748270930431385,12.03,13.332042524511458,1.3020425245114584,319.1396487751653,0.0,0.0
driza2_base,polymer,52.0,58.54612823893441,6.546128238934408,24.3,27.341041887582367,3.0410418875823666,319.56920377490917,0.09065375450621257,0.010860850619157012
