time_h,rf_percent,cum_oil_ml,delta_p_bar
0.06666666666666667,1.1982741776940462,5.991370888470231,1250.0000000000002
0.13333333333333333,2.3725412936917794,11.862706468458896,1250.0022954432416
0.2,3.5232823086540663,17.61641154327033,1250.0038918943121
0.26666666666666666,4.650968550153285,23.254842750766425,1250.0047914354946
0.3333333333333333,5.756061905238391,28.780309526191953,1250.004996556754
0.4,6.839015009201307,34.19507504600654,1250.004510097801
0.4666666666666667,7.900271430613147,39.50135715306573,1250.003335219243
0.5333333333333333,8.940265852697966,44.701329263489825,1250.0014753841333
0.6,9.959424251111592,49.79712125555796,1249.9989343444818
0.6666666666666666,10.95816406819236,54.7908203409618,1249.995716130402
0.7333333333333333,11.936894383749893,59.684471918749466,1249.991825040701
0.8,12.896016082457459,64.4800804122873,1249.987265634235
0.8666666666666667,13.835922017912457,69.17961008956229,1249.9820427216048
0.9333333333333333,14.756997173428948,73.78498586714474,1249.9761613569378
1.0,15.659618819624999,78.29809409812499,1249.969626829574
1.0666666666666667,16.5441566688669,82.7207833443345,1249.9624446555479
1.1333333333333333,17.410973026631325,87.05486513315661,1249.954620568799
1.2,18.26042293984533,91.30211469922665,1249.9461605120664
1.2666666666666666,19.092854342263564,95.46427171131782,1249.937070627455
1.3333333333333333,19.90860819694047,99.54304098470234,1249.9273572466652
1.4,20.708018635854756,103.54009317927378,1249.9170268809048
1.4666666666666666,21.491413096742267,107.45706548371135,1249.906086210497
1.5333333333333332,22.259112457192224,111.29556228596111,1249.8945420742148
1.6,23.011431166061005,115.05715583030502,1249.8824014583754
1.6666666666666667,23.74867737225671,118.74338686128355,1249.8696714857329
1.7333333333333334,24.47115305094642,122.3557652547321,1249.8563594042053
1.8,25.179154127237535,125.89577063618768,1249.8424725754828
1.8666666666666667,25.872970597383272,129.36485298691636,1249.8280184635582
1.9333333333333333,26.55288664756164,132.7644332378082,1249.813004623219
2.0,27.219180770276218,136.09590385138108,1249.7974386885523
2.0666666666666664,27.872125878426072,139.36062939213036,1249.781328361499
2.1333333333333333,28.511989417091414,142.55994708545705,1249.764681400495
2.2,29.139033473080346,145.69516736540172,1249.7475056092503
2.2666666666666666,29.753514882281717,148.7675744114086,1249.729808825688
2.3333333333333335,30.355685334867626,151.77842667433814,1249.7115989110923
2.4,30.945791478388674,154.72895739194337,1249.6928837394892
2.466666666666667,31.52407501880406,157.6203750940203,1249.6736711872925
2.533333333333333,32.09077281948778,160.45386409743892,1249.653969123246
2.6,32.646116998251564,163.2305849912578,1249.6337853986804
2.6666666666666665,33.19033502242389,165.95167511211943,1249.6131278381138
2.7333333333333334,33.72364980202438,168.6182490101219,1249.5920042302105
2.8,34.246279781071394,171.23139890535697,1249.5704223191171
2.8666666666666667,34.75843902706034,173.7921951353017,1249.5483897961883
2.933333333333333,35.2603373186493,176.30168659324647,1249.5259142921184
3.0,35.75218023158771,178.76090115793852,1249.5030033694788
3.0666666666666664,36.23416922292365,181.17084611461826,1249.4796645156798
3.1333333333333333,36.70650171352375,183.53250856761875,1249.4559051363499
3.2,37.16937116893984,185.8468558446992,1249.4317325491431
3.2666666666666666,37.6229671786554,188.11483589327702,1249.407153977971
3.3333333333333335,38.067475533744144,190.33737766872073,1249.3821765476562
3.4,38.503078302972625,192.5153915148631,1249.3568072790104
3.466666666666667,38.92995390737807,194.64976953689035,1249.3310530843232
3.533333333333333,39.34827719335194,196.7413859667597,1249.304920763264
3.6,39.75821950425924,198.7910975212962,1249.2784169991833
3.6666666666666665,40.15994875062263,200.79974375311318,1249.251548355807
3.7333333333333334,40.55362947890058,202.7681473945029,1249.2243212743165
3.8,40.93942293888724,204.6971146944362,1249.1967420707956
3.8666666666666667,41.31748714976204,206.5874357488102,1249.168816934045
3.933333333333333,41.68797696481575,208.43988482407877,1249.140551923742
4.0,42.05104413487982,210.2552206743991,1249.111952968935
4.066666666666666,42.40683737048469,212.03418685242343,1249.0830258668652
4.133333333333333,42.755502402772805,213.77751201386403,1249.0537762820961
4.2,43.09718204319114,215.4859102159557,1249.0242097459388
4.266666666666667,43.432016241987625,217.16008120993814,1248.9943316561587
4.333333333333333,43.76014214553571,218.80071072767856,1248.964147276955
4.4,44.08169415251017,220.40847076255082,1248.9336617391887
4.466666666666667,44.39680396893753,221.98401984468768,1248.902880040856
4.533333333333333,44.705600662143475,223.52800331071737,1248.8718070477862
4.6,45.00821071361927,225.04105356809637,1248.840447494554
4.666666666666667,45.30475807082907,226.52379035414535,1248.8088059855909
4.733333333333333,45.59536419797923,227.97682098989617,1248.7768869964832
4.8,45.88014812577029,229.40074062885145,1248.744694875446
4.866666666666666,46.1592265001523,230.79613250076147,1248.712233844954
4.933333333333334,46.43271363010318,232.16356815051589,1248.679508003528
5.0,46.70072153444987,233.50360767224936,1248.6465213276506
5.066666666666666,46.96335998775136,234.81679993875682,1248.6132776738145
5.133333333333333,47.2207365652625,236.1036828263125,1248.5797807806803
5.2,47.47295668699675,237.36478343498376,1248.5460342713411
5.266666666666667,47.72012366090635,238.60061830453176,1248.512041655679
5.333333333333333,47.962338725197185,239.81169362598595,1248.4778063328042
5.4,48.19970108979596,240.99850544897978,1248.4433315935705
5.466666666666667,48.43230797698641,242.161539884932,1248.4086206231507
5.533333333333333,48.66025466123157,243.30127330615787,1248.3736765036736
5.6,48.88363450819803,244.41817254099013,1248.3385022169036
5.666666666666667,49.1025390129983,245.51269506499148,1248.3031006469623
